Date,Price,Open,High,Low,Volume,PctChange
7-Dec,455.5,383.75,457,382.25,910.81K,18.47%
7-Nov,384.5,375.5,394,366.5,2.24M,2.40%
7-Oct,375.5,373,380,335,2.13M,0.67%
7-Sep,373,327.5,389.5,319.75,1.18M,15.12%
7-Aug,324,327,354.5,309.5,1.15M,-0.54%
7-Jul,325.75,330,348.25,308.5,634.04K,-1.14%
7-Jun,329.5,390,428.75,323,2.10M,-15.57%
7-May,390.25,364.75,395.75,343.5,1.34M,9.01%
7-Apr,358,357,385.25,343,1.80M,-4.41%
7-Mar,374.5,425.75,428.5,374.5,1.25M,-11.93%
7-Feb,425.25,404.25,437.25,391.5,2.03M,5.26%
7-Jan,404,389.25,420.5,352.5,2.68M,3.52%
6-Dec,390.25,376.75,392,349,791.45K,3.51%
6-Nov,377,320.75,378,320.5,2.57M,17.54%
6-Oct,320.75,263.25,334,261.5,3.00M,22.19%
6-Sep,262.5,231.5,268,222.25,1.55M,13.15%
6-Aug,232,239.75,248.75,216.75,1.07M,-2.93%
6-Jul,239,239.25,259.5,235.25,618.47K,1.49%
6-Jun,235.5,251.25,260,221,1.81M,-6.27%
6-May,251.25,237.25,264.25,225.75,1.17M,5.46%
6-Apr,238.25,235.25,244,228.75,1.24M,0.95%
6-Mar,236,227.25,243,217,1.11M,3.51%
6-Feb,228,217.75,228.75,215.25,1.59M,4.23%
6-Jan,218.75,215.25,222,203.5,1.58M,1.39%
5-Dec,215.75,188,217,186,659.54K,15.07%
5-Nov,187.5,196.25,199.5,185.75,1.37M,-4.46%
5-Oct,196.25,205.25,209.5,196,965.89K,-4.50%
5-Sep,205.5,201.5,210,195,578.31K,1.99%
5-Aug,201.5,238,239.5,200,837.66K,-14.80%
5-Jul,236.5,215,263.25,213.25,489.13K,11.43%
5-Jun,212.25,221.25,237.5,209,1.50M,-4.39%
5-May,222,205,228,195.25,920.14K,8.42%
5-Apr,204.75,213.75,215,203,1.01M,-3.87%
5-Mar,213,211.5,231,203.75,773.54K,-0.70%
5-Feb,214.5,197.25,216.5,194,988.14K,8.88%
5-Jan,197,203.5,209.75,195,905.62K,-3.79%
4-Dec,204.75,192.5,208.75,191,362.29K,6.36%
4-Nov,192.5,202,208.5,192.25,1.21M,-4.94%
4-Oct,202.5,205.5,209.5,197,923.64K,-1.46%
4-Sep,205.5,230.5,234,204,517.10K,-9.77%
4-Aug,227.75,218.75,235,215.25,408.89K,4.83%
4-Jul,217.25,257.5,259.25,216.5,249.51K,-15.63%
4-Jun,257.5,307.5,327.5,254.5,673.09K,-15.30%
4-May,304,315.75,319.75,283.5,295.86K,-3.95%
4-Apr,316.5,319.75,335.25,296.5,756.09K,-1.09%
4-Mar,320,296,321.75,285,652.05K,8.02%
4-Feb,296.25,274.75,297.75,268.75,930.53K,7.24%
4-Jan,276.25,246,281.5,245.75,1.11M,12.30%
3-Dec,246,247,255,229,600.82K,0.41%
3-Nov,245,246,247.25,229,986.55K,-0.91%
3-Oct,247.25,220.25,251,213.25,1.36M,12.26%
3-Sep,220.25,230.25,243.5,220,578.01K,-5.57%
3-Aug,233.25,206,234.5,206,493.69K,13.23%
3-Jul,206,228.75,233,204.5,310.95K,-9.85%
3-Jun,228.5,243.25,248.25,228,935.12K,-6.45%
3-May,244.25,232.5,262,232.5,543.25K,4.94%
3-Apr,232.75,236.25,245.25,230.25,724.52K,-1.59%
3-Mar,236.5,231.75,240.75,227.25,413.44K,2.05%
3-Feb,231.75,237.25,243,229.75,778.56K,-2.73%
3-Jan,238.25,235.75,246,228.5,799.25K,1.06%
2-Dec,235.75,240.25,243.5,231.25,316.91K,-1.87%
2-Nov,240.25,247.75,249.5,234,964.74K,-2.93%
2-Oct,247.5,251.75,261.75,243.25,1.02M,-1.59%
2-Sep,251.5,258.75,285.5,249.5,695.43K,-3.08%
2-Aug,259.5,247.75,277,244,561.56K,4.95%
2-Jul,247.25,225,250,212.5,358.10K,9.65%
2-Jun,225.5,212,230,204,832.42K,5.37%
2-May,214,193.5,216.75,191.5,514.32K,10.59%
2-Apr,193.5,202.5,205,192.25,736.66K,-4.44%
2-Mar,202.5,200,208.5,198.75,341.03K,1.00%
2-Feb,200.5,205.75,209.75,198.5,754.07K,-2.67%
2-Jan,206,199.75,216.25,199.25,380.43K,3.13%
1-Dec,199.75,208.5,213,199.25,46.80K,-4.20%
1-Nov,208.5,199.5,210,198.25,479.43K,3.86%
1-Oct,200.75,207.75,212.25,197.5,8.81K,-4.29%
1-Sep,209.75,219,219.4,209.25,42.82K,-4.22%
1-Aug,219,218.5,225.5,208.6,512.89K,0.11%
1-Jul,218.75,188.25,230.5,185.75,345.16K,15.89%
1-Jun,188.75,192.25,201.5,184,797.74K,-2.08%
1-May,192.75,199,204,187.75,417.62K,-3.26%
1-Apr,199.25,205,214.75,193.25,648.94K,-1.97%
1-Mar,203.25,214,219,202.5,534.18K,-5.24%
1-Feb,214.5,209,215.5,208.5,559.96K,2.63%
1-Jan,209,224,224,206.5,479.95K,-7.01%
Dec-00,224.75,208.25,225,204.25,64.21K,7.66%
Nov-00,208.75,201.5,213.5,201,422.60K,3.21%
Oct-00,202.25,193.5,206.75,193.25,10.84K,4.66%
Sep-00,193.25,182.75,194.75,179,75.13K,5.17%
Aug-00,183.75,180.25,185,174,462.49K,1.94%
Jul-00,180.25,189.5,189.5,174,241.36K,-3.87%
Jun-00,187.5,229,232.75,186.5,887.06K,-16.67%
May-00,225,227.75,249.5,222.5,638.63K,0.56%
Apr-00,223.75,236,239.5,222.5,651.76K,-5.19%
Mar-00,236,215,241.75,214.25,613.50K,9.77%
Feb-00,215,219.75,226.5,211.5,755.04K,-2.27%
Jan-00,220,204.5,228.25,200.5,980.80K,7.58%
Dec-99,204.5,187.5,206.75,180,220.47K,9.07%
Nov-99,187.5,200,203.75,187,819.97K,-6.02%
Oct-99,199.5,208,208.5,197.5,741.42K,-4.20%
Sep-99,208.25,204.5,215.75,197,366.88K,1.46%
Aug-99,205.25,205,233.25,201.25,486.46K,0.98%
Jul-99,203.25,212.75,216,177,215.51K,-3.79%
Jun-99,211.25,215.5,226.5,209.5,759.00K,-3.76%
May-99,219.5,214,224.5,211.5,294.44K,2.21%
Apr-99,214.75,226,226.5,213,569.49K,-4.77%
Mar-99,225.5,204.25,234.25,201.75,289.42K,10.27%
Feb-99,204.5,214,223,204,684.79K,-4.66%
Jan-99,214.5,214,224.5,211,635.17K,0.47%
Dec-98,213.5,218.5,221.75,207.5,249.29K,-2.40%
Nov-98,218.75,218.5,225.5,214.25,737.57K,-0.11%
Oct-98,219,208.5,231,204.5,952.73K,4.78%
Sep-98,209,185.75,214,185,285.36K,11.62%
Aug-98,187.25,216.5,216.5,187,344.93K,-13.91%
Jul-98,217.5,245,253,217.25,172.94K,-11.31%
Jun-98,245.25,237.5,260.5,230.75,696.88K,2.83%
May-98,238.5,243.5,254.25,235.25,270.01K,-2.15%
Apr-98,243.75,259,259.75,243.25,576.03K,-5.89%
Mar-98,259,261.5,274.5,258.5,321.53K,-0.96%
Feb-98,261.5,272.75,277.75,261.25,622.63K,-4.21%
Jan-98,273,263.5,283.5,257,804.45K,3.02%
Dec-97,265,271,275,252,278.93K,-2.39%
Nov-97,271.5,279,289.5,270,799.48K,-2.95%
Oct-97,279.75,257.25,295,255.5,1.14M,8.54%
Sep-97,257.75,265.5,274,249,323.06K,-3.01%
Aug-97,265.75,265,275,246,303.37K,0.09%
Jul-97,265.5,247.5,273.25,238.25,214.50K,7.06%
Jun-97,248,270,278.25,240,587.47K,-8.40%
May-97,270.75,295.25,300.25,264,320.09K,-8.22%
Apr-97,295,310.5,320,290.25,697.35K,-4.84%
Mar-97,310,296,314,295.25,338.62K,4.47%
Feb-97,296.75,269.5,297.75,268,555.71K,9.81%
Jan-97,270.25,257.75,277.25,256,687.35K,4.65%
Dec-96,258.25,269.5,276.75,257.75,272.28K,-4.62%
Nov-96,270.75,265.75,277.5,257.75,725.93K,1.79%
Oct-96,266,293.25,300.5,265.5,841.02K,-10.36%
Sep-96,296.75,368,372,294,350.89K,-19.91%
Aug-96,370.5,355,389,341.25,267.90K,4.59%
Jul-96,354.25,516,554.5,347.25,169.43K,-31.38%
Jun-96,516.25,477.25,518.5,429.25,502.52K,8.17%
May-96,477.25,466,536,460.5,279.93K,3.19%
Apr-96,462.5,409,509,408,753.16K,13.08%
Mar-96,409,395.5,410.5,381,354.68K,3.54%
Feb-96,395,367.5,395.5,358.5,716.06K,7.05%
Jan-96,369,371,375.25,347.5,1.13M,-0.07%
Dec-95,369.25,331,370.5,328,397.26K,11.64%
Nov-95,330.75,333,339,319.5,672.83K,-0.53%
Oct-95,332.5,311.25,334,306.5,931.87K,6.66%
Sep-95,311.75,295.75,314.25,285.5,321.04K,5.50%
Aug-95,295.5,283,296,268.25,320.55K,4.88%
Jul-95,281.75,273.5,300,272,168.94K,3.58%
Jun-95,272,268,285,260,485.73K,2.26%
May-95,266,250,271.25,248,206.40K,6.83%
Apr-95,249,250,254,242,358.77K,-0.40%
Mar-95,250,234.25,252.25,233,188.76K,6.72%
Feb-95,234.25,229.5,236.5,229.25,391.88K,2.07%
Jan-95,229.5,231,236.75,227.75,462.66K,-0.65%
Dec-94,231,213.25,235,213.25,243.85K,8.45%
Nov-94,213,215.75,222,210.5,506.20K,-1.27%
Oct-94,215.75,215,220,213.25,456.94K,0.00%
Sep-94,215.75,222,227.5,210,158.01K,-2.27%
Aug-94,220.75,217.5,224,214,192.63K,0.91%
Jul-94,218.75,247,248.25,214.75,135.82K,-12.24%
Jun-94,249.25,275,285.75,245,446.72K,-10.58%
May-94,278.75,269.5,278.75,255.25,226.54K,3.62%
Apr-94,269,277,278.75,255,409.05K,-2.09%
Mar-94,274.75,285,287,272.5,182.84K,-3.77%
Feb-94,285.5,291,299,283,392.12K,-1.64%
Jan-94,290.25,304.75,311.75,287.5,653.44K,-5.15%
Dec-93,306,278.75,306.75,277.5,192.32K,9.48%
Nov-93,279.5,259,288,258,701.81K,8.44%
Oct-93,257.75,243.75,258.25,236.25,667.76K,5.31%
Sep-93,244.75,229.75,250.5,225.25,324.04K,6.53%
Aug-93,229.75,237,243.5,228,287.00K,-2.55%
Jul-93,235.75,223.5,248.5,223,159.72K,5.84%
Jun-93,222.75,223.75,224.75,211.5,458.61K,-0.78%
May-93,224.5,229.5,230,220.75,161.11K,-1.54%
Apr-93,228,230.5,233.5,222.5,309.11K,-0.98%
Mar-93,230.25,211.25,231,210.5,199.19K,8.99%
Feb-93,211.25,214,214.5,210,329.11K,-1.52%
Jan-93,214.5,216,222,214,330.95K,-0.92%
Dec-92,216.5,212,220.25,208,201.98K,1.88%
Nov-92,212.5,208,218,204.5,540.78K,2.53%
Oct-92,207.25,214.5,214.5,204.75,469.08K,-3.72%
Sep-92,215.25,220,230.5,212.75,214.81K,-1.60%
Aug-92,218.75,219.75,227.25,211.5,222.05K,-0.68%
Jul-92,220.25,248,254,219.75,109.11K,-11.28%
Jun-92,248.25,265,266.5,246,378.00K,-4.34%
May-92,259.5,243.75,264,243.5,190.53K,6.35%
Apr-92,244,265,265,243.75,341.78K,-7.66%
Mar-92,264.25,265,274,261.5,210.67K,-0.19%
Feb-92,264.75,263,271.25,259.75,432.34K,0.19%
Jan-92,264.25,251.25,265,248,504.60K,5.07%
Dec-91,251.5,238.75,255.5,236.25,172.27K,5.34%
Nov-91,238.75,251,255,237.75,453.68K,-4.88%
Oct-91,251,251.5,255.75,242,541.56K,0.70%
Sep-91,249.25,249,256.25,243.5,232.25K,0.10%
Aug-91,249,260.38,266,232,269.81K,-3.49%
Jul-91,258,228.25,259.75,223,167.95K,14.67%
Jun-91,225,247.5,250.25,223,435.72K,-8.44%
May-91,245.75,247,252.5,236.5,212.64K,-0.30%
Apr-91,246.5,255.25,261.25,246.25,410.23K,-2.47%
Mar-91,252.75,241.75,254.5,240,205.04K,4.77%
Feb-91,241.25,245.38,245.75,237.5,355.85K,-1.23%
Jan-91,244.25,231.75,247,230.25,516.54K,5.39%
Dec-90,231.75,227.75,235,222.25,155.75K,1.76%
Nov-90,227.75,229.5,235,215.5,590.57K,-0.65%
Oct-90,229.25,226.38,236.5,222.75,562.27K,0.55%
Sep-90,228,243,244.5,221.5,197.07K,-6.27%
Aug-90,243.25,260.25,260.5,241.5,212.64K,-6.53%
Jul-90,260.25,297.25,302.25,255,135.20K,-11.93%
Jun-90,295.5,278.5,298,271,412.40K,6.29%
May-90,278,281.88,293,273.5,284.41K,-1.16%
Apr-90,281.25,262.75,283,262.25,477.37K,7.66%
Mar-90,261.25,247.5,261.75,241.75,224.93K,5.77%
Feb-90,247,238.25,247.25,236.25,349.04K,3.67%
Jan-90,238.25,238.75,244.25,236,400.91K,-0.63%
Dec-89,239.75,238,240,231.75,176.98K,0.63%
Nov-89,238.25,236.88,242,232.75,494.64K,0.32%
Oct-89,237.5,236.5,246.5,231.5,683.27K,1.93%
Sep-89,233,234.38,240.5,228.25,204.93K,-0.64%
Aug-89,234.5,221.75,239,217,205.00K,5.39%
Jul-89,222.5,270.25,284.25,222.25,174.63K,-16.59%
Jun-89,266.75,259,272.75,249,385.65K,2.30%
May-89,260.75,271.75,281.75,258.5,226.34K,-3.16%
Apr-89,269.25,262.25,280.75,258.5,365.65K,0.28%
Mar-89,268.5,271.38,280,264.5,245.02K,-1.47%
Feb-89,272.5,274.5,275.25,262.75,353.71K,-0.82%
Jan-89,274.75,284.5,292.75,264.75,522.79K,-3.43%
Dec-88,284.5,261.75,286.5,251.25,172.43K,8.90%
Nov-88,261.25,281.88,288.75,251.75,561.05K,-7.44%
Oct-88,282.25,286.5,299.5,272.5,618.31K,-1.22%
Sep-88,285.75,288,294.5,270.5,237.88K,0.97%
Aug-88,283,290,307.5,270,258.96K,2.91%
Jul-88,275,339.5,359,264.5,195.85K,-15.90%
Jun-88,327,222.75,354.5,218.75,424.68K,45.82%
May-88,224.25,203.5,226,195.5,183.68K,10.88%
Apr-88,202.25,211.5,213,198.5,300.23K,-3.58%
Mar-88,209.75,203.5,212,195,147.45K,2.94%
Feb-88,203.75,196.62,204.5,195.5,307.15K,3.56%
Jan-88,196.75,184.75,202.75,184.25,402.12K,6.50%
Dec-87,184.75,188.88,193,177.25,129.55K,-2.12%
Nov-87,188.75,179.38,192.5,175,290.68K,5.15%
Oct-87,179.5,182.38,188.75,176,474.54K,-0.14%
Sep-87,179.75,158.38,182,156,171.07K,13.05%
Aug-87,159,163.38,163.75,150.75,193.72K,-2.75%
Jul-87,163.5,179.25,179.5,156,101.38K,-8.91%
Jun-87,179.5,187.38,202.75,178,274.64K,-4.90%
May-87,188.75,179.38,195,178.25,145.31K,5.45%
Apr-87,179,162.88,179,157.25,296.95K,10.15%
Mar-87,162.5,149.25,166,148.25,149.93K,10.36%
Feb-87,147.25,157.88,159.5,142,262.09K,-6.21%
Jan-87,157,160.12,162.75,152.75,293.44K,-1.88%
Dec-86,160,169.75,171.75,151.25,123.10K,-5.19%
Nov-86,168.75,172.5,176.75,164.5,300.30K,-2.60%
Oct-86,173.25,177,178,162.25,390.48K,-1.98%
Sep-86,176.75,152.38,181.5,149.25,200.44K,14.59%
Aug-86,154.25,164.62,172,151.5,132.55K,-6.66%
Jul-86,165.25,213.5,220,165,87.78K,-23.94%
Jun-86,217.25,236.62,239.75,216,196.60K,-8.33%
May-86,237,240,260.5,233,119.82K,-0.52%
Apr-86,238.25,235.25,241,224.75,206.07K,1.49%
Mar-86,234.75,228.38,239,220.5,95.91K,2.96%
Feb-86,228,243.62,245,227.75,186.66K,-6.56%
Jan-86,244,247.38,251.25,240,301.36K,-1.61%
Dec-85,248,244.62,251.5,242,121.41K,1.64%
Nov-85,244,232.62,245.5,231.25,373.87K,4.83%
Oct-85,232.75,224.5,233,218.25,364.46K,3.56%
Sep-85,224.75,229.12,233.25,217,184.45K,-2.28%
Aug-85,230,231.75,235,225.25,148.88K,-0.43%
Jul-85,231,268.88,285,230,133.14K,-14.13%
Jun-85,269,274.62,279.5,268.75,221.83K,-2.00%
May-85,274.5,283.88,284.75,272,129.86K,-3.09%
Apr-85,283.25,281.62,286,280.25,272.52K,0.71%
Mar-85,281.25,264.38,282,263.75,164.52K,6.43%
Feb-85,264.25,271.75,274.5,261.5,255.39K,-3.03%
Jan-85,272.5,269.38,274,268,303.77K,1.21%
Dec-84,269.25,266.38,269.25,252.25,118.44K,1.32%
Nov-84,265.75,276.12,279.75,264.5,387.20K,-3.19%
Oct-84,274.5,278.12,283.75,273,408.86K,-1.44%
Sep-84,278.5,293.62,319.75,278,229.47K,-6.07%
Aug-84,296.5,296.25,308.5,288.25,239.25K,0.76%
Jul-84,294.25,352.75,362.5,285.5,220.79K,-16.47%
Jun-84,352.25,350.75,355.5,344,369.94K,0.50%
May-84,350.5,341.62,366,334.75,217.47K,2.64%
Apr-84,341.5,353.5,362.25,340,375.03K,-3.33%
Mar-84,353.25,331.25,357.25,329.75,201.69K,6.80%
Feb-84,330.75,328.75,332.5,316,336.39K,0.46%
Jan-84,329.25,334.5,336.75,322,415.29K,-2.37%
Dec-83,337.25,341.12,345,323.5,152.92K,-0.95%
Nov-83,340.5,346.75,360.75,333.25,414.76K,-1.23%
Oct-83,344.75,352.25,358.75,335.5,597.31K,-2.82%
Sep-83,354.75,358.25,370,339.5,293.05K,-0.42%
Aug-83,356.25,322.75,376,320.5,221.93K,11.24%
Jul-83,320.25,318.88,341.5,314.75,137.06K,0.71%
Jun-83,318,304.12,320.5,302.25,270.48K,4.43%
May-83,304.5,319,319.25,297.25,142.02K,-4.02%
Apr-83,317.25,315.75,318.75,304.25,277.23K,1.44%
Mar-83,312.75,274.38,315.5,273,221.79K,14.77%
Feb-83,272.5,269.25,280.75,264.25,332.61K,1.77%
Jan-83,267.75,244.62,268.5,242.25,418.48K,9.40%
Dec-82,244.75,234.75,247,229,131.20K,3.93%
